"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901160","GO:1901160","primary amino compound metabolic process","1/842","14/18870",0.47233143372845,0.663540926757935,0.509038590516498,"ALDH2",1
"GO:1901298","GO:1901298","regulation of hydrogen peroxide-mediated programmed cell death","1/842","14/18870",0.47233143372845,0.663540926757935,0.509038590516498,"MET",1
"GO:1901533","GO:1901533","negative regulation of hematopoietic progenitor cell differentiation","1/842","14/18870",0.47233143372845,0.663540926757935,0.509038590516498,"HES1",1
"GO:1902043","GO:1902043","positive regulation of extrinsic apoptotic signaling pathway via death domain receptors","1/842","14/18870",0.47233143372845,0.663540926757935,0.509038590516498,"SFRP1",1
"GO:1902047","GO:1902047","polyamine transmembrane transport","1/842","14/18870",0.47233143372845,0.663540926757935,0.509038590516498,"OAZ3",1
"GO:1905049","GO:1905049","negative regulation of metallopeptidase activity","1/842","14/18870",0.47233143372845,0.663540926757935,0.509038590516498,"SORL1",1
"GO:1905874","GO:1905874","regulation of postsynaptic density organization","1/842","14/18870",0.47233143372845,0.663540926757935,0.509038590516498,"PTPRS",1
"GO:2000650","GO:2000650","negative regulation of sodium ion transmembrane transporter activity","1/842","14/18870",0.47233143372845,0.663540926757935,0.509038590516498,"CAMK2D",1
"GO:2001053","GO:2001053","regulation of mesenchymal cell apoptotic process","1/842","14/18870",0.47233143372845,0.663540926757935,0.509038590516498,"SOX9",1
"GO:1903050","GO:1903050","regulation of proteolysis involved in protein catabolic process","11/842","235/18870",0.479241749070345,0.673064329403559,0.516344514332435,"GPX1/ECSCR/DAB2IP/TRIB2/RNF144B/CLU/EFNA1/USP25/RNF217/ALAD/NUDT15",11
"GO:0006892","GO:0006892","post-Golgi vesicle-mediated transport","5/842","102/18870",0.48024999977929,0.674111179219479,0.517147610167657,"CLN3/SORL1/ANK3/ARFGEF2/AP1G1",5
"GO:0043266","GO:0043266","regulation of potassium ion transport","5/842","102/18870",0.48024999977929,0.674111179219479,0.517147610167657,"KCNN4/ATP1B1/ANK3/CAB39/LRRC26",5
"GO:0051899","GO:0051899","membrane depolarization","4/842","80/18870",0.481343838304287,0.674196297917408,0.517212909383232,"EDN1/GPD1L/ANK3/CAMK2D",4
"GO:0000154","GO:0000154","rRNA modification","2/842","36/18870",0.481756566946247,0.674196297917408,0.517212909383232,"NOP2/DIMT1",2
"GO:0001569","GO:0001569","branching involved in blood vessel morphogenesis","2/842","36/18870",0.481756566946247,0.674196297917408,0.517212909383232,"EDN1/TGFBR2",2
"GO:0002068","GO:0002068","glandular epithelial cell development","2/842","36/18870",0.481756566946247,0.674196297917408,0.517212909383232,"RARG/CDK6",2
"GO:0016486","GO:0016486","peptide hormone processing","2/842","36/18870",0.481756566946247,0.674196297917408,0.517212909383232,"BACE2/ADAM10",2
"GO:0031112","GO:0031112","positive regulation of microtubule polymerization or depolymerization","2/842","36/18870",0.481756566946247,0.674196297917408,0.517212909383232,"MET/OCLN",2
"GO:0045920","GO:0045920","negative regulation of exocytosis","2/842","36/18870",0.481756566946247,0.674196297917408,0.517212909383232,"CEACAM1/ATP9A",2
"GO:0050931","GO:0050931","pigment cell differentiation","2/842","36/18870",0.481756566946247,0.674196297917408,0.517212909383232,"SOD2/AP1G1",2
"GO:0060218","GO:0060218","hematopoietic stem cell differentiation","2/842","36/18870",0.481756566946247,0.674196297917408,0.517212909383232,"CDK6/SFRP1",2
"GO:1902745","GO:1902745","positive regulation of lamellipodium organization","2/842","36/18870",0.481756566946247,0.674196297917408,0.517212909383232,"OCLN/RREB1",2
"GO:1905898","GO:1905898","positive regulation of response to endoplasmic reticulum stress","2/842","36/18870",0.481756566946247,0.674196297917408,0.517212909383232,"AGR2/DAB2IP",2
"GO:0002707","GO:0002707","negative regulation of lymphocyte mediated immunity","3/842","58/18870",0.482150964079272,0.674380227641828,0.517354011949627,"SUSD4/CEACAM1/AHR",3
"GO:0019369","GO:0019369","arachidonic acid metabolic process","3/842","58/18870",0.482150964079272,0.674380227641828,0.517354011949627,"GPX1/PTGDS/PTGS2",3
"GO:0048167","GO:0048167","regulation of synaptic plasticity","10/842","214/18870",0.486526783749273,0.680262945507097,0.521866967051242,"CX3CL1/MME/CLN3/ZDHHC2/PLK2/NPTN/RGS14/SYNGR1/IQSEC2/PTGS2",10
"GO:0033865","GO:0033865","nucleoside bisphosphate metabolic process","6/842","125/18870",0.486887360685622,0.680262945507097,0.521866967051242,"ACSL5/SULT2B1/SUCLG2/TPST2/ACSS1/ABHD14B",6
"GO:0033875","GO:0033875","ribonucleoside bisphosphate metabolic process","6/842","125/18870",0.486887360685622,0.680262945507097,0.521866967051242,"ACSL5/SULT2B1/SUCLG2/TPST2/ACSS1/ABHD14B",6
"GO:0034032","GO:0034032","purine nucleoside bisphosphate metabolic process","6/842","125/18870",0.486887360685622,0.680262945507097,0.521866967051242,"ACSL5/SULT2B1/SUCLG2/TPST2/ACSS1/ABHD14B",6
"GO:0030258","GO:0030258","lipid modification","9/842","192/18870",0.488267561977138,0.680408956867776,0.521978980363824,"CYP3A5/SOX9/EPHX2/IRS1/PLIN5/PLPP3/SLC35C1/PPARA/BDH2",9
"GO:0006885","GO:0006885","regulation of pH","5/842","103/18870",0.488850108337082,0.680408956867776,0.521978980363824,"EDN1/SLC4A4/SLC9A7/CLN3/CHP1",5
"GO:0019693","GO:0019693","ribose phosphate metabolic process","18/842","393/18870",0.489121621687384,0.680408956867776,0.521978980363824,"EPHA2/TJP2/PDE8B/NT5E/ALDOA/ACSL5/ENTPD5/SULT2B1/ATP1B1/SUCLG2/TPST2/ACSS1/NT5C2/PPARA/CMPK1/ABHD14B/GIMAP7/NUDT4",18
"GO:0051651","GO:0051651","maintenance of location in cell","11/842","237/18870",0.49057584354977,0.680408956867776,0.521978980363824,"CX3CL1/VPS13D/SORL1/ITPR2/SLC30A7/ANK3/S100A9/POLR2M/BDH2/SP100/CAMK2D",11
"GO:0002534","GO:0002534","cytokine production involved in inflammatory response","4/842","81/18870",0.491056427441477,0.680408956867776,0.521978980363824,"TICAM1/PYCARD/PPARA/ZC3H12A",4
"GO:0007405","GO:0007405","neuroblast proliferation","4/842","81/18870",0.491056427441477,0.680408956867776,0.521978980363824,"FGFR2/CX3CL1/TEAD3/PLXNB2",4
"GO:1900015","GO:1900015","regulation of cytokine production involved in inflammatory response","4/842","81/18870",0.491056427441477,0.680408956867776,0.521978980363824,"TICAM1/PYCARD/PPARA/ZC3H12A",4
"GO:0044380","GO:0044380","protein localization to cytoskeleton","3/842","59/18870",0.493565643258693,0.680408956867776,0.521978980363824,"MID1/KLHL21/GAS2L1",3
"GO:0098900","GO:0098900","regulation of action potential","3/842","59/18870",0.493565643258693,0.680408956867776,0.521978980363824,"CXADR/DSG2/CAMK2D",3
"GO:0001711","GO:0001711","endodermal cell fate commitment","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"DKK1",1
"GO:0001771","GO:0001771","immunological synapse formation","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"LGALS3",1
"GO:0002517","GO:0002517","T cell tolerance induction","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"TGFBR2",1
"GO:0003376","GO:0003376","sphingosine-1-phosphate receptor signaling pathway","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"PIK3CB",1
"GO:0009071","GO:0009071","serine family amino acid catabolic process","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"SHMT1",1
"GO:0010226","GO:0010226","response to lithium ion","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"CDH1",1
"GO:0010763","GO:0010763","positive regulation of fibroblast migration","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"AQP1",1
"GO:0010820","GO:0010820","positive regulation of T cell chemotaxis","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"ADAM10",1
"GO:0010989","GO:0010989","negative regulation of low-density lipoprotein particle clearance","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"LDLR",1
"GO:0015816","GO:0015816","glycine transport","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"SLC7A8",1
"GO:0032897","GO:0032897","negative regulation of viral transcription","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"HEXIM1",1
"GO:0033008","GO:0033008","positive regulation of mast cell activation involved in immune response","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"VAMP8",1
"GO:0034144","GO:0034144","negative regulation of toll-like receptor 4 signaling pathway","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"DAB2IP",1
"GO:0042074","GO:0042074","cell migration involved in gastrulation","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"LRP5",1
"GO:0042159","GO:0042159","lipoprotein catabolic process","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"LDLR",1
"GO:0043252","GO:0043252","sodium-independent organic anion transport","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"SLCO2A1",1
"GO:0043306","GO:0043306","positive regulation of mast cell degranulation","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"VAMP8",1
"GO:0043328","GO:0043328","protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"STAM2",1
"GO:0043374","GO:0043374","CD8-positive, alpha-beta T cell differentiation","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"IRF1",1
"GO:0045187","GO:0045187","regulation of circadian sleep/wake cycle, sleep","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"PTGDS",1
"GO:0045838","GO:0045838","positive regulation of membrane potential","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"ANK3",1
"GO:0046049","GO:0046049","UMP metabolic process","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"CMPK1",1
"GO:0046655","GO:0046655","folic acid metabolic process","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"SHMT1",1
"GO:0048302","GO:0048302","regulation of isotype switching to IgG isotypes","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"CD40",1
"GO:0050910","GO:0050910","detection of mechanical stimulus involved in sensory perception of sound","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"MKKS",1
"GO:0050966","GO:0050966","detection of mechanical stimulus involved in sensory perception of pain","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"ITGA2",1
"GO:0060046","GO:0060046","regulation of acrosome reaction","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"B4GALT1",1
"GO:0060211","GO:0060211","regulation of nuclear-transcribed mRNA poly(A) tail shortening","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"TOB1",1
"GO:0060221","GO:0060221","retinal rod cell differentiation","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"SOX9",1
"GO:0060572","GO:0060572","morphogenesis of an epithelial bud","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"FGFR2",1
"GO:0060766","GO:0060766","negative regulation of androgen receptor signaling pathway","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"SFRP1",1
"GO:0061684","GO:0061684","chaperone-mediated autophagy","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"CLU",1
"GO:0070207","GO:0070207","protein homotrimerization","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"STEAP4",1
"GO:0070365","GO:0070365","hepatocyte differentiation","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"ITGA2",1
"GO:0072044","GO:0072044","collecting duct development","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"DLG5",1
"GO:0072350","GO:0072350","tricarboxylic acid metabolic process","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"ASS1",1
"GO:0072498","GO:0072498","embryonic skeletal joint development","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"SLC2A10",1
"GO:0072537","GO:0072537","fibroblast activation","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"RGCC",1
"GO:0086069","GO:0086069","bundle of His cell to Purkinje myocyte communication","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"DSG2",1
"GO:0090205","GO:0090205","positive regulation of cholesterol metabolic process","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"LDLRAP1",1
"GO:0090660","GO:0090660","cerebrospinal fluid circulation","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"SPAG16",1
"GO:1900029","GO:1900029","positive regulation of ruffle assembly","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"EPS8L1",1
"GO:1902306","GO:1902306","negative regulation of sodium ion transmembrane transport","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"CAMK2D",1
"GO:1902563","GO:1902563","regulation of neutrophil activation","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"PLA2G2A",1
"GO:1903599","GO:1903599","positive regulation of autophagy of mitochondrion","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"VPS13D",1
"GO:1903651","GO:1903651","positive regulation of cytoplasmic transport","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"SORL1",1
"GO:1903826","GO:1903826","L-arginine transmembrane transport","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"CLN3",1
"GO:2000671","GO:2000671","regulation of motor neuron apoptotic process","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"ERBB3",1
"GO:2000767","GO:2000767","positive regulation of cytoplasmic translation","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"YBX3",1
"GO:2001028","GO:2001028","positive regulation of endothelial cell chemotaxis","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"MET",1
"GO:2001138","GO:2001138","regulation of phospholipid transport","1/842","15/18870",0.495894062748425,0.680408956867776,0.521978980363824,"PRKCD",1
"GO:0008207","GO:0008207","C21-steroid hormone metabolic process","2/842","37/18870",0.496278008898879,0.680408956867776,0.521978980363824,"BMP2/ADM",2
"GO:0033144","GO:0033144","negative regulation of intracellular steroid hormone receptor signaling pathway","2/842","37/18870",0.496278008898879,0.680408956867776,0.521978980363824,"SFRP1/CRY1",2
"GO:0035883","GO:0035883","enteroendocrine cell differentiation","2/842","37/18870",0.496278008898879,0.680408956867776,0.521978980363824,"CDK6/HES1",2
"GO:0039532","GO:0039532","negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway","2/842","37/18870",0.496278008898879,0.680408956867776,0.521978980363824,"PTPRS/TSPAN6",2
"GO:0043267","GO:0043267","negative regulation of potassium ion transport","2/842","37/18870",0.496278008898879,0.680408956867776,0.521978980363824,"ANK3/CAB39",2
"GO:0046621","GO:0046621","negative regulation of organ growth","2/842","37/18870",0.496278008898879,0.680408956867776,0.521978980363824,"WWC1/PPARA",2
"GO:0048854","GO:0048854","brain morphogenesis","2/842","37/18870",0.496278008898879,0.680408956867776,0.521978980363824,"MKKS/FZD6",2
"GO:0051084","GO:0051084","'de novo' post-translational protein folding","2/842","37/18870",0.496278008898879,0.680408956867776,0.521978980363824,"ENTPD5/CD74",2
"GO:1905144","GO:1905144","response to acetylcholine","2/842","37/18870",0.496278008898879,0.680408956867776,0.521978980363824,"ACHE/AGRN",2
"GO:1905476","GO:1905476","negative regulation of protein localization to membrane","2/842","37/18870",0.496278008898879,0.680408956867776,0.521978980363824,"GBP1/PPP2R5A",2
"GO:0001959","GO:0001959","regulation of cytokine-mediated signaling pathway","8/842","171/18870",0.496826903127658,0.680979472512496,0.522416654165008,"EDN1/RBM47/ROBO1/PYCARD/TRIM56/GAS6/CD74/IKBKB",8
"GO:0033138","GO:0033138","positive regulation of peptidyl-serine phosphorylation","5/842","104/18870",0.497398637527017,0.681580980998149,0.522878104272112,"EGFR/RAMP3/SH2D3A/TNKS1BP1/PTGS2",5
"GO:0036465","GO:0036465","synaptic vesicle recycling","4/842","82/18870",0.500692729707627,0.685545384589006,0.525919415417739,"SNCG/RAB27B/STON1/AP1G1",4
"GO:0060337","GO:0060337","type I interferon-mediated signaling pathway","4/842","82/18870",0.500692729707627,0.685545384589006,0.525919415417739,"RBM47/TRIM56/SP100/IFITM1",4
"GO:1901657","GO:1901657","glycosyl compound metabolic process","4/842","82/18870",0.500692729707627,0.685545384589006,0.525919415417739,"NT5E/NT5C2/APOBEC3C/FUCA1",4
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity","11/842","239/18870",0.501853121445342,0.6869508032808,0.526997589078333,"EDN1/FXYD3/GPD1L/CCL2/ATP1B1/ANK3/CAB39/CHP1/CAPN1/LRRC26/CAMK2D",11
"GO:0006767","GO:0006767","water-soluble vitamin metabolic process","3/842","60/18870",0.504853861367863,0.689192045395717,0.528716968669216,"GSTO2/SHMT1/SLC2A1",3
"GO:0010803","GO:0010803","regulation of tumor necrosis factor-mediated signaling pathway","3/842","60/18870",0.504853861367863,0.689192045395717,0.528716968669216,"PYCARD/GAS6/IKBKB",3
"GO:0032387","GO:0032387","negative regulation of intracellular transport","3/842","60/18870",0.504853861367863,0.689192045395717,0.528716968669216,"FERMT1/CHP1/SP100",3
"GO:0097300","GO:0097300","programmed necrotic cell death","3/842","60/18870",0.504853861367863,0.689192045395717,0.528716968669216,"MAP3K5/YBX3/FAS",3
"GO:0090068","GO:0090068","positive regulation of cell cycle process","12/842","262/18870",0.505000987685297,0.689192045395717,0.528716968669216,"EDN1/SOX15/EGFR/PBX1/CCND1/INSR/LRP5/RGCC/PKP4/PLSCR1/CDC14A/RRM2B",12
"GO:0044282","GO:0044282","small molecule catabolic process","17/842","375/18870",0.508684178634867,0.689192045395717,0.528716968669216,"HNMT/IRS1/ALDH3B2/DDAH1/PLIN5/ALDH2/GK5/LRP5/GPD2/OAT/HIBADH/PPARA/SRD5A3/SHMT1/SLC25A44/APOBEC3C/BDH2",17
"GO:0000956","GO:0000956","nuclear-transcribed mRNA catabolic process","6/842","128/18870",0.51005473981954,0.689192045395717,0.528716968669216,"ZFP36L1/TNKS1BP1/PAN3/ZC3H12A/DIS3/TOB1",6
"GO:0030301","GO:0030301","cholesterol transport","6/842","128/18870",0.51005473981954,0.689192045395717,0.528716968669216,"ANXA2/LIMA1/CLU/LDLR/NPC2/LDLRAP1",6
"GO:0002262","GO:0002262","myeloid cell homeostasis","8/842","173/18870",0.510065189271384,0.689192045395717,0.528716968669216,"GATA3/ZFP36L1/MB/TGFBR3/EPAS1/CDK6/RPS17/PIK3CB",8
"GO:0044773","GO:0044773","mitotic DNA damage checkpoint signaling","4/842","83/18870",0.510248838310173,0.689192045395717,0.528716968669216,"MUC1/CCND1/PLK2/IER3",4
"GO:0051149","GO:0051149","positive regulation of muscle cell differentiation","4/842","83/18870",0.510248838310173,0.689192045395717,0.528716968669216,"EDN1/SOD2/PIEZO1/EFNB2",4
"GO:0071357","GO:0071357","cellular response to type I interferon","4/842","83/18870",0.510248838310173,0.689192045395717,0.528716968669216,"RBM47/TRIM56/SP100/IFITM1",4
"GO:0001990","GO:0001990","regulation of systemic arterial blood pressure by hormone","2/842","38/18870",0.510537139277276,0.689192045395717,0.528716968669216,"EDN1/RPS6KA2",2
"GO:0002335","GO:0002335","mature B cell differentiation","2/842","38/18870",0.510537139277276,0.689192045395717,0.528716968669216,"NOTCH2/BCL3",2
"GO:0007339","GO:0007339","binding of sperm to zona pellucida","2/842","38/18870",0.510537139277276,0.689192045395717,0.528716968669216,"ALDOA/B4GALT1",2
"GO:0007616","GO:0007616","long-term memory","2/842","38/18870",0.510537139277276,0.689192045395717,0.528716968669216,"RGS14/LDLR",2
"GO:0014912","GO:0014912","negative regulation of smooth muscle cell migration","2/842","38/18870",0.510537139277276,0.689192045395717,0.528716968669216,"IGFBP3/BMPR1A",2
"GO:0031111","GO:0031111","negative regulation of microtubule polymerization or depolymerization","2/842","38/18870",0.510537139277276,0.689192045395717,0.528716968669216,"ATXN7/MID1",2
"GO:0032373","GO:0032373","positive regulation of sterol transport","2/842","38/18870",0.510537139277276,0.689192045395717,0.528716968669216,"ANXA2/LDLRAP1",2
"GO:0032376","GO:0032376","positive regulation of cholesterol transport","2/842","38/18870",0.510537139277276,0.689192045395717,0.528716968669216,"ANXA2/LDLRAP1",2
"GO:0035510","GO:0035510","DNA dealkylation","2/842","38/18870",0.510537139277276,0.689192045395717,0.528716968669216,"GATA3/APOBEC3C",2
"GO:0043001","GO:0043001","Golgi to plasma membrane protein transport","2/842","38/18870",0.510537139277276,0.689192045395717,0.528716968669216,"CLN3/ANK3",2
"GO:0046466","GO:0046466","membrane lipid catabolic process","2/842","38/18870",0.510537139277276,0.689192045395717,0.528716968669216,"PRKCD/FUCA1",2
"GO:0048741","GO:0048741","skeletal muscle fiber development","2/842","38/18870",0.510537139277276,0.689192045395717,0.528716968669216,"GPX1/CAV2",2
"GO:0070873","GO:0070873","regulation of glycogen metabolic process","2/842","38/18870",0.510537139277276,0.689192045395717,0.528716968669216,"IRS1/INSR",2
"GO:0072529","GO:0072529","pyrimidine-containing compound catabolic process","2/842","38/18870",0.510537139277276,0.689192045395717,0.528716968669216,"ENTPD5/APOBEC3C",2
"GO:0086091","GO:0086091","regulation of heart rate by cardiac conduction","2/842","38/18870",0.510537139277276,0.689192045395717,0.528716968669216,"DSG2/CAMK2D",2
"GO:1990776","GO:1990776","response to angiotensin","2/842","38/18870",0.510537139277276,0.689192045395717,0.528716968669216,"PRKCD/PTGS2",2
"GO:0002532","GO:0002532","production of molecular mediator involved in inflammatory response","5/842","106/18870",0.514329036474943,0.689192045395717,0.528716968669216,"TICAM1/PYCARD/PPARA/ZC3H12A/VAMP8",5
"GO:0032760","GO:0032760","positive regulation of tumor necrosis factor production","5/842","106/18870",0.514329036474943,0.689192045395717,0.528716968669216,"CLU/TICAM1/PYCARD/IFNGR1/ARFGEF2",5
"GO:0032963","GO:0032963","collagen metabolic process","5/842","106/18870",0.514329036474943,0.689192045395717,0.528716968669216,"MMP7/ITGA2/CREB3L1/RGCC/CTSB",5
"GO:0060291","GO:0060291","long-term synaptic potentiation","5/842","106/18870",0.514329036474943,0.689192045395717,0.528716968669216,"MME/ZDHHC2/PLK2/NPTN/RGS14",5
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","22/842","489/18870",0.515513194325995,0.689192045395717,0.528716968669216,"EDN1/DKK1/ACHE/CX3CL1/MME/SNCG/MYOF/CLN3/PTPRS/CDH1/ZDHHC2/PLK2/FBXO2/NPTN/CCL2/PLAT/RGS14/SYNGR1/SLC12A2/CLSTN3/IQSEC2/PTGS2",22
"GO:0046902","GO:0046902","regulation of mitochondrial membrane permeability","3/842","61/18870",0.516010467408666,0.689192045395717,0.528716968669216,"EYA2/BBC3/IER3",3
"GO:0048599","GO:0048599","oocyte development","3/842","61/18870",0.516010467408666,0.689192045395717,0.528716968669216,"EDN1/SHB/RPS6KA2",3
"GO:0002713","GO:0002713","negative regulation of B cell mediated immunity","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"SUSD4",1
"GO:0002836","GO:0002836","positive regulation of response to tumor cell","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"HLA-DRB1",1
"GO:0002839","GO:0002839","positive regulation of immune response to tumor cell","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"HLA-DRB1",1
"GO:0002864","GO:0002864","regulation of acute inflammatory response to antigenic stimulus","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"C3",1
"GO:0002890","GO:0002890","negative regulation of immunoglobulin mediated immune response","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"SUSD4",1
"GO:0003096","GO:0003096","renal sodium ion transport","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"EDN1",1
"GO:0003214","GO:0003214","cardiac left ventricle morphogenesis","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"TGFBR2",1
"GO:0006004","GO:0006004","fucose metabolic process","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"FUCA1",1
"GO:0006103","GO:0006103","2-oxoglutarate metabolic process","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"D2HGDH",1
"GO:0006206","GO:0006206","pyrimidine nucleobase metabolic process","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"CMPK1",1
"GO:0006369","GO:0006369","termination of RNA polymerase II transcription","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"PCF11",1
"GO:0006577","GO:0006577","amino-acid betaine metabolic process","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"ALDH7A1",1
"GO:0006750","GO:0006750","glutathione biosynthetic process","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"GGT7",1
"GO:0006878","GO:0006878","intracellular copper ion homeostasis","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"SCO2",1
"GO:0009173","GO:0009173","pyrimidine ribonucleoside monophosphate metabolic process","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"CMPK1",1
"GO:0010715","GO:0010715","regulation of extracellular matrix disassembly","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"DDR1",1
"GO:0010819","GO:0010819","regulation of T cell chemotaxis","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"ADAM10",1
"GO:0010832","GO:0010832","negative regulation of myotube differentiation","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"BHLHE41",1
"GO:0010958","GO:0010958","regulation of amino acid import across plasma membrane","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"PER2",1
"GO:0014857","GO:0014857","regulation of skeletal muscle cell proliferation","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"CAV2",1
"GO:0015846","GO:0015846","polyamine transport","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"OAZ3",1
"GO:0016045","GO:0016045","detection of bacterium","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"HLA-DRB1",1
"GO:0016114","GO:0016114","terpenoid biosynthetic process","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"ALDH1A3",1
"GO:0023035","GO:0023035","CD40 signaling pathway","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"CD40",1
"GO:0030810","GO:0030810","positive regulation of nucleotide biosynthetic process","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"PPARA",1
"GO:0030852","GO:0030852","regulation of granulocyte differentiation","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"CEACAM1",1
"GO:0032048","GO:0032048","cardiolipin metabolic process","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"SLC27A1",1
"GO:0032793","GO:0032793","positive regulation of CREB transcription factor activity","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"CRTC2",1
"GO:0032930","GO:0032930","positive regulation of superoxide anion generation","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"PRKCD",1
"GO:0034374","GO:0034374","low-density lipoprotein particle remodeling","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"PLA2G2A",1
"GO:0034393","GO:0034393","positive regulation of smooth muscle cell apoptotic process","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"SOD2",1
"GO:0034638","GO:0034638","phosphatidylcholine catabolic process","1/842","16/18870",0.51840571478586,0.689192045395717,0.528716968669216,"LDLR",1
